Term,Acad Group,Subject,Catalog Nbr,Course Title,Component,Units
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),401,Small Craft Design,LEC,4
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),410,Marine Str II,LEC,4
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),470,Fnd Ship Design,LEC,4
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),490,"Dir Std,Res&Sp Prob",IND,1.00-16.00
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),492,Marine Engin Lab II,LEC,2
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),499,Special Topics NAME,LEC,4
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),512,Fem Sol&Str,LEC,3
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),514,Fatigue of Structure,LEC,3
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),520,Int Marine Hydrodyn,LEC,4
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),540,Marine Dyn III,LEC,4
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),551,Offshore Engin I,LEC,3
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),562,Marine Sys Productn,LEC,4
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),582,Reliab Risk Safe Sys,LEC,3
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),590,Directed Study&Res,IND,1.00-6.00
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),592,Masters Thesis,IND,1.00-6.00
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),599,Special Topics NAME,LEC,1.00-6.00
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),792,Prof Degree Thesis,IND,1.00-8.00
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),990,Diss-Precand,IND,1.00-8.00
Fall 2017,Engineering,Naval Architecture And Marine Engineering (NAVARCH),995,Diss-Cand,IND,8
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),211,Intro to Nucl Eng,LEC,4
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),299,Directed Study NERS,IND,1.00-3.00
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),311,N E & Rad Sci I,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),320,Problems in NERS,LEC,4
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),421,Nucl Engr Materials,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),441,Nucl React Theo I,LEC,4
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),444,Therm-hyd Nucl Sys,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),462,React Safety Analys,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),471,Intr Plasmas-Fusion,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),484,RHE Fundamentals,LEC,4
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),490,Special Topics,LEC,2
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),499,Res Nur Eng/Rad Sci,IND,1.00-3.00
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),515,Nuclear Measure Lab,LEC,4
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),518,Adv Rad Meas&Imag,LEC,2
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),521,Rad Mat Sci I,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),535,Det Nucl Non-prolif,LEC,4
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),543,Nucl React Theo II,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),546,Ther Flu Nuc Reactor,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),571,Inter Plas-Phys I,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),576,Chrg Par Accel-Beam,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),577,Plasma Spectroscopy,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),578,Proc Plasma,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),579,Phys Diagnos Radiol,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),584,Radiation Biology,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),588,Rad Safe&Md Phy Prac,IND,1.00-12.00
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),590,Special Topics II,LEC,2.00-4.00
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),599,Masters Project,IND,1.00-3.00
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),621,Nuclear Waste Forms,LEC,3
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),799,Special Project,IND,1.00-6.00
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),990,Diss-Precand,IND,1.00-8.00
Fall 2017,Engineering,Nuclear Engineering And Radiological Sciences (NERS),995,Diss-Cand,IND,8
Fall 2017,Engineering,Technical Communication (TCHNCLCM),300,Tech Comm for EE&CE,LEC,1
Fall 2017,Engineering,Technical Communication (TCHNCLCM),380,Tech Comm in IOE,LEC,2
Fall 2017,Engineering,Technical Communication (TCHNCLCM),496,Adv TchCom for EE/CE,LEC,2
Fall 2017,Engineering,Technical Communication (TCHNCLCM),497,Adv Tch Com for CS,LEC,2
Fall 2017,Engineering,Technical Communication (TCHNCLCM),501,Selected Topics,SEM,1.00-4.00
Fall 2017,Engineering,Technical Communication (TCHNCLCM),575,Directed Study,IND,1.00-4.00
Fall 2017,Engineering,Technical Communication (TCHNCLCM),590,Intern in Tech Comm,IND,1.00-4.00
Fall 2017,Engineering,Technical Communication (TCHNCLCM),610,Dissertatn Writing,SEM,3
Fall 2017,Engineering,Technical Communication (TCHNCLCM),675,Directed Study,IND,1.00-4.00
Fall 2017,Environment and Sustainability,Natural Resources And Environment (NRE),598,N R Internship-Gr,IND,1.00-3.00
Fall 2017,Environment and Sustainability,Natural Resources And Environment (NRE),600,Dir Res&Sp Prob-Gr,IND,1.00-8.00
Fall 2017,Environment and Sustainability,Natural Resources And Environment (NRE),700,Masters Thes Pract,IND,1.00-6.00
Fall 2017,Environment and Sustainability,Natural Resources And Environment (NRE),990,Diss-Precand,IND,1.00-8.00
Fall 2017,Environment and Sustainability,Natural Resources And Environment (NRE),995,Diss-Cand,IND,8
Fall 2017,Information,Information (SI),106,"Prog, Info & People",LEC,4
Fall 2017,Information,Information (SI),110,Intr to Info Studies,LEC,4
Fall 2017,Information,Information (SI),206,Data-Oriented Prog,LEC,4
Fall 2017,Information,Information (SI),300,Career/Intern Studio,LEC,1
Fall 2017,Information,Information (SI),301,Models of Social Inf,LEC,4
Fall 2017,Information,Information (SI),310,Info Environs & Work,LEC,4
Fall 2017,Information,Information (SI),315,Media: Others & Self,LEC,3
Fall 2017,Information,Information (SI),320,Graphic Design,LEC,3
Fall 2017,Information,Information (SI),330,Data Manipulation,LEC,4
Fall 2017,Information,Information (SI),335,Social Media in Orgs,LEC,3
Fall 2017,Information,Information (SI),360,Succeeding at Failing,LEC,3
Fall 2017,Information,Information (SI),364,Bldg Interactive App,LEC,4
Fall 2017,Information,Information (SI),365,Cyberscience,LEC,3
Fall 2017,Information,Information (SI),370,Data Exploration,LEC,4
Fall 2017,Information,Information (SI),388,The H in HCI,LEC,4
Fall 2017,Information,Information (SI),390,Internship,SEM,3
Fall 2017,Information,Information (SI),400,Survey Methodology,LEC,3
Fall 2017,Information,Information (SI),405,Analysis Proj Prep,LEC,1
Fall 2017,Information,Information (SI),422,Usab Eval&Needs,LEC,3
Fall 2017,Information,Information (SI),425,Intro User Modeling,LEC,4
Fall 2017,Information,Information (SI),429,Online Communities,LEC,3
Fall 2017,Information,Information (SI),435,Making for Info Prob,LEC,3
Fall 2017,Information,Information (SI),482,Interact Des Studio,LEC,4
Fall 2017,Information,Information (SI),491,Independent Study,IND,1.00-8.00
Fall 2017,Information,Information (SI),501,Contextual Inq,LEC,3
Fall 2017,Information,Information (SI),502,Net Computing,LEC,3
Fall 2017,Information,Information (SI),506,Programming I,LEC,3
Fall 2017,Information,Information (SI),507,Inter Programming,LEC,3
Fall 2017,Information,Information (SI),519,Intel Prop&Info Law,SEM,3
Fall 2017,Information,Information (SI),520,Graphic Design,LEC,3
Fall 2017,Information,Information (SI),530,Prin in Management,LEC,3
Fall 2017,Information,Information (SI),534,Theories Soc Influen,LEC,3
Fall 2017,Information,Information (SI),537,Crisis Informatics,LEC,3
Fall 2017,Information,Information (SI),539,Des of Comp Websites,LEC,3
Fall 2017,Information,Information (SI),542,Health Informatics,LEC,3
Fall 2017,Information,Information (SI),544,Intr Stat&Data Analy,LEC,3
Fall 2017,Information,Information (SI),549,Trfrm Lrng Tchg Tech,SEM,3
Fall 2017,Information,Information (SI),551,Info Behav & Search,LEC,3
Fall 2017,Information,Information (SI),561,Nat Lng Proc,LEC,3
Fall 2017,Information,Information (SI),563,Game Theory,LEC,3
Fall 2017,Information,Information (SI),573,HI Seminar I,SEM,1
Fall 2017,Information,Information (SI),574,HI Seminar II,SEM,1
Fall 2017,Information,Information (SI),580,Records & Archives,LEC,3
Fall 2017,Information,Information (SI),582,Intro Interac Design,LEC,3
Fall 2017,Information,Information (SI),588,Fundamntls Hum Beh,LEC,3
Fall 2017,Information,Information (SI),604,Autonom Vehicle Tech,LAB,3
Fall 2017,Information,Information (SI),608,Networks,LEC,3
Fall 2017,Information,Information (SI),612,Pervasv Interact Des,LEC,3
Fall 2017,Information,Information (SI),616,Adv Graphic Design,LEC,3
Fall 2017,Information,Information (SI),618,Data Man & Analysis,LEC,3
Fall 2017,Information,Information (SI),623,Res Meth Info Prof,SEM,3
Fall 2017,Information,Information (SI),625,Digital Preservation,LEC,3
Fall 2017,Information,Information (SI),634,Appl Pltfrm Config,LEC,1.5
Fall 2017,Information,Information (SI),635,CMS & Web Frameworks,LEC,1.5
Fall 2017,Information,Information (SI),647,Info Resources&Serv,LEC,3
Fall 2017,Information,Information (SI),648,Eval Methods in HI,LEC,3
Fall 2017,Information,Information (SI),649,Info Visualization,LEC,3
Fall 2017,Information,Information (SI),650,Informatn Retrieval,LEC,3
Fall 2017,Information,Information (SI),652,Electronic Commerce,LEC,3
Fall 2017,Information,Information (SI),661,Mgmt in Health Info,SEM,3
Fall 2017,Information,Information (SI),664,Database App Design,LEC,3
Fall 2017,Information,Information (SI),666,Org of Inf Resources,LEC,3
Fall 2017,Information,Information (SI),671,Data Mining,SEM,3
Fall 2017,Information,Information (SI),681,Intern/Field Seminar,SEM,3.00-6.00
Fall 2017,Information,Information (SI),690,Intern/Field Exper,IND,1.00-6.50
Fall 2017,Information,Information (SI),699,MSI Mastery Courses,LEC,3
Fall 2017,Information,Information (SI),701,Doctoral Fnd Sem,SEM,3
Fall 2017,Information,Information (SI),702,Sem Orgnztl St,SEM,1.00-3.00
Fall 2017,Information,Information (SI),705,First Semester Exp,SEM,1
Fall 2017,Information,Information (SI),710,Research Sem in Info,SEM,3
Fall 2017,Information,Information (SI),721,Data Mining,SEM,3
Fall 2017,Information,Information (SI),724,Qualitative Methods,SEM,3
Fall 2017,Information,Information (SI),791,Independent Study,IND,1.00-3.00
Fall 2017,Information,Information (SI),990,Diss-Precand,IND,1.00-8.00
Fall 2017,Information,Information (SI),995,Diss-Cand,IND,8
Fall 2017,Kinesiology,Athletic Training (AT),200,Clin Exp Ath Train A,LEC,3
Fall 2017,Kinesiology,Athletic Training (AT),210,Clin Eval-UE AT Inj,LEC,3
Fall 2017,Kinesiology,Athletic Training (AT),212,Clin Eval-UE AT Inj,LAB,1
Fall 2017,Kinesiology,Athletic Training (AT),218,Emergency Response,LEC,3
Fall 2017,Kinesiology,Athletic Training (AT),300,Clin Exp Ath Train C,LEC,3
Fall 2017,Kinesiology,Athletic Training (AT),326,Fund of Strngth&Cond,LEC,3
Fall 2017,Kinesiology,Athletic Training (AT),350,Therap Modalities,LEC,3
Fall 2017,Kinesiology,Athletic Training (AT),352,Therapeutic Mod Lab,LAB,1
Fall 2017,Kinesiology,Athletic Training (AT),360,Rehab Ath Injuries,LEC,3
Fall 2017,Kinesiology,Athletic Training (AT),362,Rehab Athlet Inj Lab,LAB,1
Fall 2017,Kinesiology,Athletic Training (AT),375,Path Allied Hlt Prof,LEC,2
Fall 2017,Kinesiology,Athletic Training (AT),400,Clin Exp Ath Train E,LEC,3
Fall 2017,Kinesiology,Athletic Training (AT),402,Teach Exp,IND,1.00-3.00
Fall 2017,Kinesiology,Athletic Training (AT),403,Internship in AT,LAB,1.00-2.00
Fall 2017,Kinesiology,Athletic Training (AT),410,AT Admin,LEC,3
Fall 2017,Kinesiology,Athletic Training (AT),413,SpecialTopics MVS AT,LEC,2.00-3.00
Fall 2017,Kinesiology,Athletic Training (AT),488,Ind Study AT,IND,1.00-2.00
Fall 2017,Kinesiology,Health and Fitness (HF),218,Emergency Response,LEC,3
Fall 2017,Kinesiology,Health and Fitness (HF),240,Intro to Fit&Health,LEC,3
Fall 2017,Kinesiology,Health and Fitness (HF),241,Ex Nutr Wt Cn,LEC,3
Fall 2017,Kinesiology,Health and Fitness (HF),280,Research Opport,DIS,1.00-4.00
Fall 2017,Kinesiology,Health and Fitness (HF),290,Field Exp HF,IND,1.00-4.00
Fall 2017,Kinesiology,Health and Fitness (HF),313,Special Topics,LEC,2.00-3.00
Fall 2017,Kinesiology,Health and Fitness (HF),331,Biomech Sprt Ftns,LEC,3
Fall 2017,Kinesiology,Health and Fitness (HF),333,Legal Iss Sprt Ftns,LEC,3
Fall 2017,Kinesiology,Health and Fitness (HF),402,Teach Exp HF,IND,1.00-3.00
Fall 2017,Kinesiology,Health and Fitness (HF),403,Internship in HF,LAB,1.00-4.00
Fall 2017,Kinesiology,Health and Fitness (HF),425,PA & Ped Disability,LEC,3
Fall 2017,Kinesiology,Health and Fitness (HF),434,Mgr Ethcs Sprt Fitns,LEC,3
Fall 2017,Kinesiology,Health and Fitness (HF),437,Psych Sport&Exer,LEC,3
Fall 2017,Kinesiology,Health and Fitness (HF),451,PA Lifespan,LEC,3
Fall 2017,Kinesiology,Health and Fitness (HF),470,Independent Study,IND,1.00-3.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),302,Kines Study Abroad,LEC,1.00-18.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),402,Teach Exper,IND,1.00-3.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),413,SpecialTopics MVS AT,LEC,2.00-3.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),422,Motor Learning,LEC,3
Fall 2017,Kinesiology,Kinesiology (KINESLGY),424,Aging&Motor Perfmnc,LEC,3
Fall 2017,Kinesiology,Kinesiology (KINESLGY),425,PA & Ped Disability,LEC,3
Fall 2017,Kinesiology,Kinesiology (KINESLGY),429,Lab Mtr Cnt Dev,LAB,1.00-3.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),439,Lab Biomechanic,LAB,1.00-3.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),442,Exer Endocrinology,LEC,3
Fall 2017,Kinesiology,Kinesiology (KINESLGY),448,CV Ex Phys,LEC,3
Fall 2017,Kinesiology,Kinesiology (KINESLGY),449,Lab Exer Phys,LAB,1.00-3.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),451,PA Lifespan,LEC,3
Fall 2017,Kinesiology,Kinesiology (KINESLGY),505,Disability Studies,SEM,1.00-3.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),509,Fin Mgmt Spt Indus,LEC,3
Fall 2017,Kinesiology,Kinesiology (KINESLGY),513,Experimental Course,LEC,3
Fall 2017,Kinesiology,Kinesiology (KINESLGY),514,Strat Mngmt in Sport,LEC,3
Fall 2017,Kinesiology,Kinesiology (KINESLGY),519,Spt Mgmt in Depth,IND,2.00-3.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),531,Analysis in MATLAB,LEC,3
Fall 2017,Kinesiology,Kinesiology (KINESLGY),540,Adv Exerc Phys,LEC,3
Fall 2017,Kinesiology,Kinesiology (KINESLGY),550,Mkt Mngmtin Sport,SEM,3
Fall 2017,Kinesiology,Kinesiology (KINESLGY),619,Thesis Research,IND,1.00-6.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),680,Practicum Kines,IND,1.00-6.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),682,Ind Read in Kin,IND,1.00-3.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),684,Ind Res in Kin,IND,1.00-6.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),685,Res Rotation in Kin,LAB,3.00-6.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),686,Intern in Kines,IND,1.00-6.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),990,Diss-Precand,IND,1.00-8.00
Fall 2017,Kinesiology,Kinesiology (KINESLGY),995,Diss-Cand,IND,8
Fall 2017,Kinesiology,Movement Science (MOVESCI),110,Bio&Beh Bases Hu Mvt,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),219,Scientific Writing,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),230,Hum Musculo Anat,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),231,Hum Musculo Anat Lab,LAB,1
Fall 2017,Kinesiology,Movement Science (MOVESCI),240,Intro to Fit&Health,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),241,Ex Nutr Wt Cn,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),250,Statistics,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),280,Kin UG Research Opp,DIS,1.00-4.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),290,Field Exp MOVESCI,IND,1.00-8.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),313,Special Topics,LEC,2
Fall 2017,Kinesiology,Movement Science (MOVESCI),320,Motor Control,LEC,4
Fall 2017,Kinesiology,Movement Science (MOVESCI),330,Biomech of Hum Mvmt,LEC,4
Fall 2017,Kinesiology,Movement Science (MOVESCI),340,Exercise Physiol,LEC,4
Fall 2017,Kinesiology,Movement Science (MOVESCI),362,Surg Neuromon Lab,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),380,Prob in Move Sci,IND,1.00-3.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),381,Comm Serv Learn,IND,1.00-3.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),382,Honors Reading,IND,1.00-3.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),384,Honors Research,IND,1.00-3.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),390,Field Exp MVS,IND,1.00-8.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),402,Teach Exp Mvs,IND,1.00-3.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),403,Internship,LAB,0.50-4.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),413,SpecialTopics MVS AT,LEC,2.00-3.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),422,Motor Learning,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),424,Aging&Motor Perfmnc,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),425,PA & Ped Disability,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),429,Lab Mtr Cnt Dev,LAB,1.00-3.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),439,Lab Biomechanic,LAB,1.00-3.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),442,Exer Endocrinology,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),448,CV Ex Phys,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),449,Lab Exer Phys,LAB,1.00-3.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),451,PA Lifespan,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),465,Neuro Adv Top IONM,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),466,Clin Rot IONM II,IND,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),467,Clin Rot IONM III,IND,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),477,Science of Medicine,LEC,3
Fall 2017,Kinesiology,Movement Science (MOVESCI),488,Independent Study,IND,1.00-3.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),489,Senior Thesis,IND,2.00-5.00
Fall 2017,Kinesiology,Movement Science (MOVESCI),490,Sr Honors Thesis-A,IND,1.00-5.00
Fall 2017,Kinesiology,Physical Education (PHYSED),140,Beginning Swim,LAB,1
Fall 2017,Kinesiology,Physical Education (PHYSED),141,Begin Swim II,LAB,1
Fall 2017,Kinesiology,Physical Education (PHYSED),142,Intermediate Swim,LAB,1
Fall 2017,Kinesiology,Physical Education (PHYSED),255,Hlth Ed Elem Teacher,LEC,3
Fall 2017,Kinesiology,Physical Education (PHYSED),290,Field Exp PHYSED,IND,1.00-4.00
Fall 2017,Kinesiology,Physical Education (PHYSED),326,Fund of Strngth&Cond,LEC,3
Fall 2017,Kinesiology,Physical Education (PHYSED),336,K-12 Rhythm&Dance,LAB,3
Fall 2017,Kinesiology,Physical Education (PHYSED),370,Honors Reading,IND,1.00-3.00
Fall 2017,Kinesiology,Physical Education (PHYSED),380,Honors Research,IND,1.00-3.00
Fall 2017,Kinesiology,Physical Education (PHYSED),390,Field Experience,IND,1.00-8.00
Fall 2017,Kinesiology,Physical Education (PHYSED),402,Teach Exp PE,IND,1.00-3.00
Fall 2017,Kinesiology,Physical Education (PHYSED),470,Independent Study,IND,1.00-3.00
Fall 2017,Kinesiology,Physical Education (PHYSED),490,Sr Honors Thesis,IND,1.00-4.00
Fall 2017,Kinesiology,Sport Management (SM),100,SM Freshmen Sem,SEM,2
Fall 2017,Kinesiology,Sport Management (SM),101,Pub&Small Grp Comm,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),111,Iss in Sport&Fitness,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),203,Intro Sport Mgmt,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),217,Business Comm,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),249,Research Methods,LEC,4
Fall 2017,Kinesiology,Sport Management (SM),270,Honors Reading,IND,1.00-3.00
Fall 2017,Kinesiology,Sport Management (SM),280,Research Opport,LAB,1.00-4.00
Fall 2017,Kinesiology,Sport Management (SM),290,Field Exp SM,IND,1.00-4.00
Fall 2017,Kinesiology,Sport Management (SM),313,Special Topics,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),317,Career Planning,DIS,2
Fall 2017,Kinesiology,Sport Management (SM),331,Econ of Sport,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),332,Org Behave-Sport Org,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),333,Legal Iss Sprt Ftns,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),341,Sport Finance,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),346,Prin of Marketing,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),370,Honors Reading,IND,1.00-3.00
Fall 2017,Kinesiology,Sport Management (SM),380,Honors Research,IND,1.00-3.00
Fall 2017,Kinesiology,Sport Management (SM),390,Field Experience,IND,1.00-2.00
Fall 2017,Kinesiology,Sport Management (SM),402,Teach Expernce SM,IND,1.00-2.00
Fall 2017,Kinesiology,Sport Management (SM),403,Internship in SM,LAB,0.50-3.00
Fall 2017,Kinesiology,Sport Management (SM),433,Spt&Public Policy,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),434,Mgr Ethcs Sprt Fitns,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),435,Sport&the Consumer,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),436,"Race Rel,Cul Images",LEC,3
Fall 2017,Kinesiology,Sport Management (SM),437,Psych Sport&Exer,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),438,Sports Econ Policy,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),440,Sports & Eco Dev,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),444,Sales Mng in Spt Ind,LEC,3
Fall 2017,Kinesiology,Sport Management (SM),470,Independent Study,IND,1.00-3.00
Fall 2017,Kinesiology,Sport Management (SM),490,Sr Honors Thesis,IND,1.00-2.00
Fall 2017,Kinesiology,Sport Management (SM),499,Strat of Sport Orgs,LEC,3
Fall 2017,LSA Residential College,Fine Arts (RCARTS),285,Photography,LAB,4
Fall 2017,LSA Residential College,Fine Arts (RCARTS),286,Sculpture,LAB,4
Fall 2017,LSA Residential College,Fine Arts (RCARTS),288,Beginning Drawing,LAB,4
Fall 2017,LSA Residential College,Fine Arts (RCARTS),289,Ceramics,LAB,4
Fall 2017,LSA Residential College,Fine Arts (RCARTS),385,Interdis Photo Appl,LAB,4
Fall 2017,LSA Residential College,American Sign Language (RCASL),100,Intro Deaf Culture,LEC,3
Fall 2017,LSA Residential College,American Sign Language (RCASL),101,Elem Amer Sign Lang,LEC,4
Fall 2017,LSA Residential College,American Sign Language (RCASL),201,Intermediate ASL,LEC,4
Fall 2017,LSA Residential College,Core Courses (RCCORE),100,First Year Seminar,SEM,4
Fall 2017,LSA Residential College,Core Courses (RCCORE),205,Independent Study,IND,1.00-8.00
Fall 2017,LSA Residential College,Core Courses (RCCORE),206,Independent Study,IND,1.00-4.00
Fall 2017,LSA Residential College,Core Courses (RCCORE),209,Study Off-Campus,IND,1.00-4.00
Fall 2017,LSA Residential College,Core Courses (RCCORE),301,Sem in Det Internshp,IND,2.00-4.00
Fall 2017,LSA Residential College,Core Courses (RCCORE),302,Reflection Sem-SiD,SEM,2
Fall 2017,LSA Residential College,Core Courses (RCCORE),306,Independent Study,IND,1.00-4.00
Fall 2017,LSA Residential College,Core Courses (RCCORE),307,College Teaching,IND,1.00-4.00
Fall 2017,LSA Residential College,Core Courses (RCCORE),308,Dir Peer Tutoring,IND,1.00-2.00
Fall 2017,LSA Residential College,Core Courses (RCCORE),309,Study Off-Campus,IND,1.00-4.00
Fall 2017,LSA Residential College,Core Courses (RCCORE),334,Special Topics,SEM,2.00-4.00
Fall 2017,LSA Residential College,Core Courses (RCCORE),405,Independent Study,IND,1.00-8.00
Fall 2017,LSA Residential College,Core Courses (RCCORE),406,Independent Study,IND,1.00-4.00
Fall 2017,LSA Residential College,Core Courses (RCCORE),490,Honors Thesis,IND,1.00-4.00
Fall 2017,LSA Residential College,Humanities (RCHUMS),218,Hero as Outsider,SEM,3
Fall 2017,LSA Residential College,Humanities (RCHUMS),220,Narration,SEM,4
Fall 2017,LSA Residential College,Humanities (RCHUMS),221,Writing of Poetry,SEM,4
Fall 2017,LSA Residential College,Humanities (RCHUMS),236,Art of Film,LEC,4
Fall 2017,LSA Residential College,Humanities (RCHUMS),249,Foundations of Music,REC,4
Fall 2017,LSA Residential College,Humanities (RCHUMS),250,Chamber Music,LAB,1
Fall 2017,LSA Residential College,Humanities (RCHUMS),251,Topics in Music,SEM,3
Fall 2017,LSA Residential College,Humanities (RCHUMS),252,Topics Music Express,LAB,2
Fall 2017,LSA Residential College,Humanities (RCHUMS),253,Choral Ensemble,LAB,1
Fall 2017,LSA Residential College,Humanities (RCHUMS),258,Afro-Cuban Drumming,REC,4
